Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
8/30/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",MD,21402,,N/A,Email,8/30/2013,Closed with explanation,Yes,Yes,510326
9/17/2013,Credit card,,Billing disputes,,,,Bank of America,TN,37874,Older American,N/A,Phone,11/4/2013,Closed with explanation,Yes,Yes,530624
9/24/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,"Carrington Mortgage Holdings, LLC.",AR,72113,,N/A,Web,9/25/2013,Closed with explanation,Yes,No,540357
9/24/2013,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,Equifax,IL,62060,,N/A,Web,9/24/2013,Closed with explanation,Yes,Yes,540836
9/10/2013,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt is not mine,,,"Expert Global Solutions, Inc.",AZ,85297,,N/A,Web,9/14/2013,Closed with explanation,Yes,No,521372
9/10/2013,Credit card,,Forbearance / Workout plans,,,,Capital One,OH,43065,,N/A,Web,9/14/2013,Closed with monetary relief,Yes,No,521375
9/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,IL,60628,,N/A,Web,9/24/2013,Closed with non-monetary relief,Yes,No,540390
8/30/2013,Mortgage,Other mortgage,Credit decision / Underwriting,,,,New York Community Bank,MD,20912,,N/A,Postal mail,9/5/2013,Closed with explanation,Yes,No,511136
9/10/2013,Credit card,,Billing disputes,,,,Citibank,FL,32259,,N/A,Web,9/14/2013,Closed with explanation,Yes,No,520825
9/10/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",WA,99208,,N/A,Web,9/10/2013,Closed with non-monetary relief,Yes,No,521400
9/10/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,Experian,FL,32811,,N/A,Web,9/14/2013,Closed with non-monetary relief,Yes,No,521231
9/10/2013,Debt collection,Federal student loan,Improper contact or sharing of info,Contacted employer after asked not to,,,ConServe,CA,91403,,N/A,Web,9/14/2013,Closed with explanation,Yes,No,521406
9/17/2013,Credit card,,Rewards,,,,Citibank,NJ,7078,,N/A,Phone,9/18/2013,Closed with explanation,Yes,No,530684
8/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Fifth Third Financial Corporation,NC,28075,,N/A,Postal mail,9/4/2013,Closed with monetary relief,Yes,No,511169
9/17/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Banco Popular de Puerto Rico,PR,639,,N/A,Postal mail,10/8/2013,Closed with explanation,Yes,No,530694
9/17/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,FL,33619,,N/A,Web,9/18/2013,Closed with explanation,Yes,No,530701
9/17/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,FL,34120,Older American,N/A,Web,9/18/2013,Closed with explanation,Yes,No,530709
9/17/2013,Credit card,,Billing statement,,,,Bank of America,LA,71467,Older American,N/A,Web,9/17/2013,Closed with explanation,Yes,No,531858
8/30/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,HSBC North America Holdings Inc.,CO,80207,Older American,N/A,Web,9/4/2013,Closed with explanation,Yes,No,511192
9/10/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,RMP Group Inc.,IN,46060,,N/A,Web,9/14/2013,Closed with explanation,Yes,Yes,521464
8/30/2013,Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,,,Forster & Garbus LLP,FL,34744,,N/A,Phone,9/4/2013,Closed with non-monetary relief,Yes,No,511166
9/10/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Wells Fargo & Company,FL,33710,Older American,N/A,Web,9/10/2013,Closed with explanation,Yes,Yes,521212
9/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,LA,70058,,N/A,Postal mail,9/18/2013,Closed with explanation,Yes,No,530738
8/30/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,Equifax,IL,60614,Older American,N/A,Web,8/30/2013,Closed with non-monetary relief,Yes,No,511214
9/10/2013,Credit card,,Credit line increase/decrease,,,,Amex,TX,75240,,N/A,Web,9/20/2013,Closed with explanation,Yes,No,521492
9/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,U.S. Bancorp,FL,32825,,N/A,Referral,9/18/2013,Closed with explanation,Yes,No,530745
9/17/2013,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,,,Wells Fargo & Company,MA,2740,,N/A,Web,9/18/2013,Closed with explanation,Yes,Yes,530751
9/24/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,NJ,8010,,N/A,Postal mail,9/25/2013,Closed with explanation,Yes,No,540486
9/24/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,CA,91352,,N/A,Web,9/25/2013,Closed with explanation,Yes,No,540532
9/17/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,,"ProCollect, Inc",TX,77065,,N/A,Web,9/17/2013,Closed with explanation,Yes,No,531864
9/10/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,MD,20607,Older American,N/A,Postal mail,9/10/2013,Closed with explanation,Yes,Yes,520970
9/10/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,NJ,7978,,N/A,Web,9/11/2013,Closed with non-monetary relief,Yes,No,521292
9/10/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Citibank,FL,32127,,N/A,Web,9/10/2013,Closed with explanation,Yes,Yes,521546
9/17/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,NY,11742,,N/A,Web,9/18/2013,Closed with explanation,Yes,No,530784
9/24/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Kimball, Tirey & St. John LLP",CA,92130,,N/A,Web,10/3/2013,Closed with non-monetary relief,Yes,No,540572
9/10/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,TN,37217,,N/A,Referral,9/10/2013,Closed with monetary relief,Yes,No,521753
9/10/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,JPMorgan Chase & Co.,TX,77488,,N/A,Referral,9/10/2013,Closed with explanation,Yes,No,520964
9/24/2013,Credit card,,Late fee,,,,Capital One,OH,44601,,N/A,Fax,9/25/2013,Closed with monetary relief,Yes,No,541250
9/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,MA,2151,,N/A,Postal mail,9/18/2013,Closed with explanation,Yes,No,531744
